,movies,year,imdb,metascore,votes,n_imdb
2224,The Croods,2013,7.2,55,171313,72
2225,Side Effects,2013,7.1,75,164353,71
2226,G.I. Joe: Retaliation,2013,5.8,41,160562,58
2227,Mama,2013,6.2,57,154362,62
2228,Anchorman 2: The Legend Continues,2013,6.3,61,150174,63
2229,The Heat,2013,6.6,60,149251,66
2230,RED 2,2013,6.6,47,143715,66
2231,Evil Dead,2013,6.5,57,142242,65
2232,Riddick,2013,6.4,49,140706,64
2233,Insidious: Chapter 2,2013,6.6,40,134221,66
2234,Enemy,2013,6.9,61,134078,69
2235,Saving Mr. Banks,2013,7.5,65,134073,75
2236,47 Ronin,2013,6.3,28,131497,63
2237,The Way Way Back,2013,7.4,68,129548,74
2238,The Spectacular Now,2013,7.1,82,128404,71
2239,Begin Again,2013,7.4,62,124917,74
2240,The Last Stand,2013,6.4,54,124159,64
2241,Grown Ups 2,2013,5.4,19,123899,54
2242,Carrie,2013,5.9,53,121527,59
2243,Jack the Giant Slayer,2013,6.3,51,119249,63
2244,The Mortal Instruments: City of Bones,2013,5.9,33,118765,59
2245,Last Vegas,2013,6.6,48,118580,66
2246,Inside Llewyn Davis,2013,7.5,93,117963,75
2247,Blue Is the Warmest Color,2013,7.8,88,117878,78
2248,Before Midnight,2013,7.9,94,117302,79
2249,The Book Thief,2013,7.6,53,115363,76
2250,Locke,2013,7.1,81,114354,71
2251,Identity Thief,2013,5.7,35,110600,57
2252,Under the Skin,2013,6.3,78,107396,63
2253,R.I.P.D.,2013,5.6,25,105369,56
2254,The Host,2013,5.9,35,102969,59
2255,Trance,2013,6.9,61,102642,69
2256,Nebraska,2013,7.7,86,102618,77
2257,Parker,2013,6.2,42,102226,62
2258,Oculus,2013,6.5,61,102192,65
2259,Nymphomaniac: Vol. I,2013,7.0,64,101264,70
2260,The Call,2013,6.7,51,100745,67
2261,Lee Daniels' The Butler,2013,7.2,66,99680,72
2262,The Family,2013,6.3,42,99620,63
2263,Percy Jackson: Sea of Monsters,2013,5.8,39,99067,58
2264,Only God Forgives,2013,5.7,37,97217,57
2265,Out of the Furnace,2013,6.8,63,95979,68
2266,Homefront,2013,6.5,40,95379,65
2267,Stoker,2013,6.8,58,95006,68
2268,Epic,2013,6.7,52,93360,67
2269,Safe Haven,2013,6.7,34,92879,67
2270,The Best Offer,2013,7.8,49,90516,78
2271,The Counsellor,2013,5.3,48,89798,53
2272,Filth,2013,7.1,56,89778,71
2273,Movie 43,2013,4.3,18,89715,43
2274,Jobs,2013,5.9,44,86616,59
2275,Philomena,2013,7.6,77,86375,76
2276,Bad Grandpa,2013,6.5,54,84170,65
2277,Coherence,2013,7.2,65,82827,72
2278,Beautiful Creatures,2013,6.2,52,77517,62
2279,August: Osage County,2013,7.2,58,77226,72
2280,Only Lovers Left Alive,2013,7.3,79,77125,73
2281,Cloudy with a Chance of Meatballs 2,2013,6.4,59,76974,64
2282,The Bling Ring,2013,5.6,66,75878,56
2283,42,2013,7.5,62,75191,75
2284,Nymphomaniac: Vol. II,2013,6.7,60,74342,67
2285,Snitch,2013,6.5,51,73292,65
2286,Turbo,2013,6.4,58,71486,64
2287,The Kings of Summer,2013,7.2,61,71279,72
2288,Broken City,2013,6.2,49,70124,62
2289,Short Term 12,2013,8.0,82,69352,80
2290,The Great Beauty,2013,7.8,86,68929,78
2291,Delivery Man,2013,6.4,44,68622,64
2292,All Is Lost,2013,6.9,87,68469,69
2293,Horns,2013,6.5,46,67515,65
2294,Machete Kills,2013,5.6,41,67513,56
2295,21 & Over,2013,5.9,34,67063,59
2296,The Incredible Burt Wonderstone,2013,5.9,44,65948,59
2297,Fruitvale Station,2013,7.5,85,65713,75
2298,Dark Skies,2013,6.3,50,64397,63
2299,What If,2013,6.8,59,62468,68
2300,Europa Report,2013,6.5,68,61239,65
2301,Oldboy,2013,5.8,49,60274,58
2302,Dead Man Down,2013,6.5,39,59980,65
2303,Redemption,2013,6.2,43,59260,62
2304,Scary Movie 5,2013,3.5,11,57588,35
2305,The Wind Rises,2013,7.8,83,57514,78
2306,Runner Runner,2013,5.6,36,56937,56
2307,Blue Ruin,2013,7.1,77,55783,71
2308,Blackfish,2013,8.1,83,54497,81
2309,Enough Said,2013,7.0,78,54467,70
2310,Grudge Match,2013,6.4,35,52401,64
2311,Drinking Buddies,2013,6.1,71,52325,61
2312,The Frozen Ground,2013,6.4,37,50346,64
2313,The East,2013,6.8,68,45857,68
2314,Ida,2013,7.4,91,43332,74
2315,The Big Wedding,2013,5.6,28,42986,56
2316,Bad Words,2013,6.7,57,42981,67
2317,Chennai Express,2013,6.0,45,42821,60
2318,The Double,2013,6.5,68,42488,65
2319,Odd Thomas,2013,6.9,45,42123,69
2320,Joe,2013,6.9,74,41555,69
2321,The Zero Theorem,2013,6.1,50,40683,61
2322,The Lunchbox,2013,7.8,76,40486,78
2323,The Colony,2013,5.3,28,39548,53
2324,The Past,2013,7.8,85,39536,78
2325,A Haunted House,2013,5.1,20,39026,51
2326,Planes,2013,5.7,39,38828,57
2327,Dhoom 3,2013,5.4,61,38768,54
2328,Starred Up,2013,7.4,81,38064,74
2329,Labor Day,2013,6.9,52,37493,69
2330,Interstellar,2014,8.6,74,1212983,86
2331,Guardians of the Galaxy,2014,8.1,76,875627,81
2332,Gone Girl,2014,8.1,79,721107,81
2333,Captain America: The Winter Soldier,2014,7.8,70,616949,78
2334,The Grand Budapest Hotel,2014,8.1,88,602190,81
2335,X-Men: Days of Future Past,2014,8.0,75,595888,80
2336,The Imitation Game,2014,8.0,73,588419,80
2337,Whiplash,2014,8.5,88,571067,85
2338,Edge of Tomorrow,2014,7.9,71,522852,79
2339,Kingsman: The Secret Service,2014,7.7,60,519395,77
2340,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,492484,77
2341,The Hobbit: The Battle of the Five Armies,2014,7.4,59,421237,74
2342,John Wick,2014,7.3,68,400003,73
2343,Ex Machina,2014,7.7,78,397895,77
2344,Divergent,2014,6.7,48,387778,67
2345,Lucy,2014,6.4,61,386291,64
2346,American Sniper,2014,7.3,72,384811,73
2347,Nightcrawler,2014,7.9,76,381070,79
2348,Dawn of the Planet of the Apes,2014,7.6,79,378267,76
2349,The Amazing Spider-Man 2,2014,6.6,53,372834,66
2350,The Maze Runner,2014,6.8,57,372571,68
2351,Fury,2014,7.6,64,365019,76
2352,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,363218,67
2353,Big Hero 6,2014,7.8,74,346945,78
2354,The Theory of Everything,2014,7.7,72,339645,77
2355,Godzilla,2014,6.4,62,336618,64
2356,Boyhood,2014,7.9,100,307386,79
2357,22 Jump Street,2014,7.0,71,307049,70
2358,The Fault in Our Stars,2014,7.8,69,300695,78
2359,Maleficent,2014,7.0,56,292277,70
2360,The Lego Movie,2014,7.8,83,289809,78
2361,The Equalizer,2014,7.2,57,280761,72
2362,The Interview,2014,6.6,52,278109,66
2363,Transformers: Age of Extinction,2014,5.7,32,275180,57
2364,How to Train Your Dragon 2,2014,7.8,76,258813,78
2365,Neighbors,2014,6.3,68,256510,63
2366,300: Rise of an Empire,2014,6.2,48,254156,62
2367,Non-Stop,2014,7.0,56,227249,70
2368,Noah,2014,5.8,68,222338,58
2369,Predestination,2014,7.5,69,214717,75
2370,RoboCop,2014,6.2,52,200884,62
2371,Transcendence,2014,6.3,42,198402,63
2372,Teenage Mutant Ninja Turtles,2014,5.8,31,188370,58
2373,It Follows,2014,6.9,83,169233,69
2374,Chef,2014,7.3,68,167093,73
2375,Dracula Untold,2014,6.3,40,159670,63
2376,The Babadook,2014,6.8,86,159131,68
2377,Taken 3,2014,6.0,26,158383,60
2378,The Judge,2014,7.4,48,157847,74
2379,A Million Ways to Die in the West,2014,6.1,44,155456,61
2380,Need for Speed,2014,6.5,39,151233,65
2381,The Expendables 3,2014,6.1,35,150209,61
2382,Exodus: Gods and Kings,2014,6.0,52,146825,60
2383,Wild Tales,2014,8.1,77,140002,81
2384,Horrible Bosses 2,2014,6.3,40,138300,63
2385,Sin City: A Dame to Kill For,2014,6.5,46,134668,65
2386,Hercules,2014,6.0,47,132107,60
2387,The Drop,2014,7.1,69,127461,71
2388,Unbroken,2014,7.2,59,125548,72
2389,Foxcatcher,2014,7.0,81,122627,70
2390,The Purge: Anarchy,2014,6.5,50,120452,65
2391,Into the Woods,2014,6.0,69,119256,60
2392,Let's Be Cops,2014,6.5,30,118919,65
2393,The Other Woman,2014,6.0,39,118863,60
2394,The Monuments Men,2014,6.1,52,114531,61
2395,Dumb and Dumber To,2014,5.6,36,113756,56
2396,Annabelle,2014,5.4,37,112809,54
2397,What We Do in the Shadows,2014,7.6,76,112431,76
2398,Still Alice,2014,7.5,72,111647,75
2399,Jack Ryan: Shadow Recruit,2014,6.2,57,110837,62
2400,Wild,2014,7.1,76,106149,71
2401,If I Stay,2014,6.8,46,102791,68
2402,Blended,2014,6.5,31,102312,65
2403,The Giver,2014,6.5,47,101875,65
2404,A Walk Among the Tombstones,2014,6.5,57,101258,65
2405,The Raid 2,2014,8.0,71,99890,80
2406,I Origins,2014,7.4,57,99574,74
2407,Pompeii,2014,5.5,39,97334,55
2408,Sex Tape,2014,5.1,36,96974,51
2409,"Love, Rosie",2014,7.2,44,96319,72
2410,Ride Along,2014,6.2,41,90686,62
2411,That Awkward Moment,2014,6.2,36,89319,62
2412,St. Vincent,2014,7.3,64,87141,73
2413,Night at the Museum: Secret of the Tomb,2014,6.2,47,86073,62
2414,The Guest,2014,6.7,76,79120,67
2415,3 Days to Kill,2014,6.2,40,78942,62
2416,Inherent Vice,2014,6.7,81,78842,67
2417,Paddington,2014,7.2,77,76345,72
2418,Selma,2014,7.5,89,74765,75
2419,"I, Frankenstein",2014,5.1,30,73301,51
2420,Big Eyes,2014,7.0,62,73294,70
2421,Penguins of Madagascar,2014,6.7,53,69928,67
2422,Rio 2,2014,6.3,49,68850,63
2423,Frank,2014,7.0,75,67739,70
2424,The Hundred-Foot Journey,2014,7.3,55,65959,73
2425,A Most Wanted Man,2014,6.8,73,65808,68
2426,Seventh Son,2014,5.5,30,64689,55
2427,The Water Diviner,2014,7.1,50,64616,71
2428,This Is Where I Leave You,2014,6.6,44,63173,66
2429,"As Above, So Below",2014,6.2,38,62496,62
2430,Deliver Us from Evil,2014,6.2,40,61985,62
2431,Before I Go to Sleep,2014,6.3,41,61132,63
2432,Into the Storm,2014,5.8,44,59541,58
2433,Unfriended,2014,5.6,59,58378,56
2434,Two Night Stand,2014,6.4,45,57904,64
2435,The November Man,2014,6.3,38,57596,63
2436,The Gambler,2014,6.0,55,57518,60
2437,A Most Violent Year,2014,7.0,79,57293,70
2438,The Book of Life,2014,7.3,67,57243,73
2439,Magic in the Moonlight,2014,6.6,54,57028,66
2440,The Signal,2014,6.1,54,56889,61
2441,The Best of Me,2014,6.7,29,56165,67
2442,Mr. Peabody & Sherman,2014,6.8,59,55316,68
2443,Sabotage,2014,5.7,41,54112,57
2444,Calvary,2014,7.4,77,50529,74
2445,Automata,2014,6.1,37,49466,61
2446,The Legend of Hercules,2014,4.2,22,49348,42
2447,The Boxtrolls,2014,6.8,61,49057,68
2448,Vampire Academy,2014,5.5,31,47847,55
2449,Winter's Tale,2014,6.2,31,47652,62
2450,Walk of Shame,2014,6.0,25,46827,60
2451,Draft Day,2014,6.8,54,46664,68
2452,Citizenfour,2014,8.1,88,46355,81
2453,The Voices,2014,6.4,58,45845,64
2454,The Cobbler,2014,5.8,23,45608,58
2455,Veronica Mars,2014,6.8,62,45550,68
2456,Pride,2014,7.8,79,44765,78
2457,The Loft,2014,6.3,24,44732,63
2458,'71,2014,7.2,83,44298,72
2459,Stonehearst Asylum,2014,6.8,52,43934,68
2460,Tammy,2014,4.9,39,42532,49
2461,Ouija,2014,4.5,38,42203,45
2462,Leviathan,2014,7.6,92,40993,76
2463,Before We Go,2014,6.8,31,40821,68
2464,Song of the Sea,2014,8.1,85,40622,81
2465,Mommy,2014,8.1,74,40400,81
2466,Hector and the Search for Happiness,2014,7.0,29,40185,70
2467,Million Dollar Arm,2014,7.0,56,40057,70
2468,"Two Days, One Night",2014,7.4,89,39891,74
2469,While We're Young,2014,6.3,77,39512,63
2470,Kill the Messenger,2014,7.0,60,39334,70
2471,The Rover,2014,6.4,64,39207,64
2472,Tusk,2014,5.3,55,38792,53
2473,Laggies,2014,6.4,63,37494,64
2474,God's Not Dead,2014,4.8,16,36968,48
2475,Endless Love,2014,6.3,30,36641,63
2476,The Inbetweeners 2,2014,6.4,55,36609,64
2477,Brick Mansions,2014,5.7,40,36516,57
2478,Paranormal Activity: The Marked Ones,2014,5.0,42,35991,50
2479,Time Lapse,2014,6.5,50,35888,65
2480,The Skeleton Twins,2014,6.8,74,35830,68
2481,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,35646,62
2482,Camp X-Ray,2014,6.9,54,35638,69
2483,Wish I Was Here,2014,6.7,43,33995,67
2484,Winter Sleep,2014,8.2,88,33720,82
2485,Maps to the Stars,2014,6.2,67,33476,62
2486,Goodnight Mommy,2014,6.7,81,33165,67
2487,Pawn Sacrifice,2014,7.0,65,32885,70
2488,Cake,2014,6.4,49,32164,64
2489,The Salvation,2014,6.7,64,31456,67
2490,Left Behind,2014,3.1,12,31150,31
2491,Love & Mercy,2014,7.4,80,30880,74
2492,Cold in July,2014,6.8,73,30763,68
2493,Black Sea,2014,6.4,62,30503,64
2494,Star Wars: The Force Awakens,2015,8.0,81,754529,80
2495,Mad Max: Fury Road,2015,8.1,90,735867,81
2496,The Martian,2015,8.0,80,637049,80
2497,Avengers: Age of Ultron,2015,7.4,66,605849,74
2498,The Revenant,2015,8.0,76,577034,80
2499,Jurassic World,2015,7.0,59,514745,70
2500,Inside Out,2015,8.2,94,499640,82
2501,Ant-Man,2015,7.3,64,450619,73
2502,The Hateful Eight,2015,7.8,68,404290,78
2503,Spectre,2015,6.8,60,339159,68
2504,Spotlight,2015,8.1,93,337828,81
2505,Furious 7,2015,7.2,67,325096,72
2506,Sicario,2015,7.6,82,305658,76
2507,Mission: Impossible - Rogue Nation,2015,7.4,75,293882,74
2508,The Big Short,2015,7.8,81,288272,78
2509,Room,2015,8.2,86,288083,82
2510,Fifty Shades of Grey,2015,4.1,46,268352,41
2511,Bridge of Spies,2015,7.6,81,250264,76
2512,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,236024,65
2513,The Man from U.N.C.L.E.,2015,7.3,56,230320,73
2514,Terminator Genisys,2015,6.5,38,225435,65
2515,Spy,2015,7.0,75,206786,70
2516,Chappie,2015,6.8,41,206752,68
2517,Creed,2015,7.6,82,201739,76
2518,Insurgent,2015,6.2,42,191019,62
2519,Southpaw,2015,7.4,57,190856,74
2520,Maze Runner: The Scorch Trials,2015,6.3,43,190163,63
2521,Focus,2015,6.6,56,184262,66
2522,Minions,2015,6.4,56,183108,64
2523,The Intern,2015,7.1,51,182255,71
2524,San Andreas,2015,6.1,43,180733,61
2525,Everest,2015,7.1,64,173874,71
2526,Jupiter Ascending,2015,5.3,40,161416,53
2527,The Lobster,2015,7.1,82,159815,71
2528,Straight Outta Compton,2015,7.9,72,158968,79
2529,Tomorrowland,2015,6.5,60,156767,65
2530,Ted 2,2015,6.3,48,156565,63
2531,Black Mass,2015,6.9,68,150328,69
2532,The Witch,2015,6.8,83,136348,68
2533,The Danish Girl,2015,7.1,66,136150,71
2534,Fantastic Four,2015,4.3,27,135039,43
2535,Cinderella,2015,6.9,67,133931,69
2536,Steve Jobs,2015,7.2,82,133139,72
2537,The Age of Adaline,2015,7.2,51,130715,72
2538,Legend,2015,7.0,55,129769,70
2539,Pitch Perfect 2,2015,6.4,63,124350,64
2540,Trainwreck,2015,6.2,75,117846,62
2541,The Gift,2015,7.1,77,116505,71
2542,Pixels,2015,5.6,27,114553,56
2543,Crimson Peak,2015,6.5,66,114191,65
2544,Joy,2015,6.6,56,112268,66
2545,Brooklyn,2015,7.5,87,110785,75
2546,Me and Earl and the Dying Girl,2015,7.8,74,107510,78
2547,Get Hard,2015,6.0,34,106165,60
2548,The Walk,2015,7.3,70,105052,73
2549,In the Heart of the Sea,2015,6.9,47,103643,69
2550,The Visit,2015,6.2,55,96231,62
2551,Carol,2015,7.2,95,93521,72
2552,Run All Night,2015,6.6,59,90687,66
2553,Burnt,2015,6.6,42,90349,66
2554,Daddy's Home,2015,6.1,42,90208,61
2555,The Good Dinosaur,2015,6.7,66,87441,67
2556,Hotel Transylvania 2,2015,6.7,44,84550,67
2557,Paper Towns,2015,6.3,56,83831,63
2558,Vacation,2015,6.1,34,83792,61
2559,Home,2015,6.6,55,83218,66
2560,The Last Witch Hunter,2015,6.0,34,81737,60
2561,Green Room,2015,7.0,79,81237,70
2562,Hitman: Agent 47,2015,5.7,28,77792,57
2563,Insidious: Chapter 3,2015,6.1,52,77301,61
2564,Self/less,2015,6.5,34,77079,65
2565,Dope,2015,7.2,72,74344,72
2566,Concussion,2015,7.1,55,73598,71
2567,Hardcore Henry,2015,6.7,51,73170,67
2568,American Ultra,2015,6.1,50,73154,61
2569,Demolition,2015,7.0,49,72721,70
2570,Entourage,2015,6.6,38,69513,66
2571,Eye in the Sky,2015,7.3,73,69375,73
2572,Project Almanac,2015,6.4,47,69258,64
2573,The Duff,2015,6.5,56,68924,65
2574,No Escape,2015,6.8,38,66971,68
2575,The Longest Ride,2015,7.1,33,66886,71
2576,Goosebumps,2015,6.3,60,66473,63
2577,Trumbo,2015,7.5,60,66120,75
2578,The Wedding Ringer,2015,6.7,35,64831,67
2579,Knock Knock,2015,4.9,53,64348,49
2580,Bone Tomahawk,2015,7.1,72,62314,71
2581,Youth,2015,7.3,64,61225,73
2582,The Invitation,2015,6.7,74,60814,67
2583,Beasts of No Nation,2015,7.8,79,59298,78
2584,Mortdecai,2015,5.5,27,58227,55
2585,Sisters,2015,6.0,58,56926,60
2586,Mr. Holmes,2015,6.9,67,56033,69
2587,Child 44,2015,6.5,41,55923,65
2588,Anomalisa,2015,7.3,88,54650,73
2589,The Night Before,2015,6.4,58,54369,64
2590,Pan,2015,5.8,36,53697,58
2591,Point Break,2015,5.3,34,51353,53
2592,Krampus,2015,6.2,49,50808,62
2593,Aloha,2015,5.4,40,50130,54
2594,Poltergeist,2015,4.9,47,49987,49
2595,Irrational Man,2015,6.6,53,47639,66
2596,Macbeth,2015,6.6,71,47147,66
2597,Blackhat,2015,5.4,51,47031,54
2598,The Little Prince,2015,7.8,70,46972,78
2599,True Story,2015,6.3,50,46955,63
2600,Magic Mike XXL,2015,5.6,60,46833,56
2601,Solace,2015,6.4,36,46165,64
2602,Woman in Gold,2015,7.3,51,46154,73
2603,Victor Frankenstein,2015,6.0,36,44816,60
2604,Wild Card,2015,5.6,40,44299,56
2605,The Dressmaker,2015,7.1,47,43230,71
2606,Hot Pursuit,2015,5.1,31,43219,51
2607,Man Up,2015,6.8,69,41994,68
2608,Amy,2015,7.8,85,41727,78
2609,Victoria,2015,7.7,77,41693,77
2610,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,41440,60
2611,The Man Who Knew Infinity,2015,7.2,56,40010,72
2612,Far from the Madding Crowd,2015,7.1,71,39245,71
2613,Sinister 2,2015,5.3,32,38535,53
2614,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,38436,63
2615,The Colony,2015,7.1,33,38348,71
2616,Mr. Right,2015,6.3,52,38207,63
2617,The Peanuts Movie,2015,7.1,67,37711,71
2618,Maggie,2015,5.6,52,37457,56
2619,Son of Saul,2015,7.5,89,36534,75
2620,Dark Places,2015,6.2,39,36442,62
2621,Slow West,2015,6.9,72,36040,69
2622,The Ridiculous 6,2015,4.8,18,36019,48
2623,Ip Man 3,2015,7.1,57,35824,71
2624,The Lazarus Effect,2015,5.2,31,35281,52
2625,The Transporter Refueled,2015,5.2,32,34753,52
2626,Secret in Their Eyes,2015,6.3,45,34643,63
2627,The Gunman,2015,5.8,39,34590,58
2628,Last Knights,2015,6.2,27,34412,62
2629,A Man Called Ove,2015,7.7,70,34362,77
2630,Sleeping with Other People,2015,6.5,64,33933,65
2631,The Boy Next Door,2015,4.7,30,33487,47
2632,Hot Tub Time Machine 2,2015,5.1,29,33356,51
2633,Going Clear: Scientology & the Prison of Belief,2015,8.0,80,32928,80
2634,Suffragette,2015,6.9,67,32205,69
2635,Absolutely Anything,2015,6.0,31,31987,60
2636,High-Rise,2015,5.6,65,31772,56
2637,Regression,2015,5.7,32,31531,57
2638,Love,2015,6.0,51,31460,60
2639,Shaun the Sheep Movie,2015,7.4,81,31103,74
2640,The 33,2015,6.9,55,30827,69
2641,We Are Your Friends,2015,6.2,46,30501,62
2642,"McFarland, USA",2015,7.4,60,30091,74
2643,The Stanford Prison Experiment,2015,6.9,67,29994,69
2644,Paul Blart: Mall Cop 2,2015,4.4,13,29493,44
2645,Mustang,2015,7.6,83,28858,76
2646,The Final Girls,2015,6.6,59,28398,66
2647,The Second Best Exotic Marigold Hotel,2015,6.6,51,27779,66
2648,Deadpool,2016,8.0,65,764626,80
2649,Batman v Superman: Dawn of Justice,2016,6.6,44,547023,66
2650,Captain America: Civil War,2016,7.8,75,524288,78
2651,Suicide Squad,2016,6.1,40,494505,61
2652,Arrival,2016,7.9,81,471049,79
2653,Doctor Strange,2016,7.5,72,450131,75
2654,Rogue One: A Star Wars Story,2016,7.8,65,442893,78
2655,La La Land,2016,8.1,93,394419,81
2656,Zootopia,2016,8.0,78,355905,80
2657,Hacksaw Ridge,2016,8.1,71,335309,81
2658,X-Men: Apocalypse,2016,7.0,52,330509,70
2659,Fantastic Beasts and Where to Find Them,2016,7.4,66,316890,74
2660,Split,2016,7.3,62,285645,73
2661,Passengers,2016,7.0,41,283836,70
2662,10 Cloverfield Lane,2016,7.2,76,245554,72
2663,The Jungle Book,2016,7.4,77,230155,74
2664,The Nice Guys,2016,7.4,70,223640,74
2665,The Accountant,2016,7.4,51,218196,74
2666,Warcraft: The Beginning,2016,6.9,32,216182,69
2667,Moonlight,2016,7.4,99,204661,74
2668,Moana,2016,7.6,81,202752,76
2669,Star Trek: Beyond,2016,7.1,68,200067,71
2670,Finding Dory,2016,7.3,77,199204,73
2671,Now You See Me 2,2016,6.5,46,198373,65
2672,Manchester by the Sea,2016,7.8,96,196631,78
2673,Nocturnal Animals,2016,7.5,67,186534,75
2674,Sully,2016,7.5,74,185360,75
2675,Jason Bourne,2016,6.6,58,180914,66
2676,The Conjuring 2,2016,7.4,65,176876,74
2677,Ghostbusters: Answer the Call,2016,5.3,60,176499,53
2678,Don't Breathe,2016,7.1,71,170656,71
2679,Lion,2016,8.1,69,166419,81
2680,The Promise,2016,6.1,49,162522,61
2681,Hell or High Water,2016,7.6,88,160660,76
2682,The Magnificent Seven,2016,6.9,54,158553,69
2683,Assassin's Creed,2016,5.8,36,156893,58
2684,Hidden Figures,2016,7.8,74,156715,78
2685,Me Before You,2016,7.4,51,153871,74
2686,The Secret Life of Pets,2016,6.5,61,150552,65
2687,Sausage Party,2016,6.2,66,150409,62
2688,Independence Day: Resurgence,2016,5.2,32,148665,52
2689,Captain Fantastic,2016,7.9,72,146289,79
2690,The Legend of Tarzan,2016,6.3,44,142336,63
2691,War Dogs,2016,7.1,57,142309,71
2692,The Girl on the Train,2016,6.5,48,139638,65
2693,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,132545,67
2694,Inferno,2016,6.2,42,128604,62
2695,Central Intelligence,2016,6.3,52,126286,63
2696,Deepwater Horizon,2016,7.1,68,124446,71
2697,London Has Fallen,2016,5.9,28,117990,59
2698,Allied,2016,7.1,60,115544,71
2699,Jack Reacher: Never Go Back,2016,6.1,47,111490,61
2700,Snowden,2016,7.3,58,109213,73
2701,Your Name.,2016,8.4,79,108500,84
2702,Kung Fu Panda 3,2016,7.1,66,107074,71
2703,"Hail, Caesar!",2016,6.3,72,105481,63
2704,Sing,2016,7.1,59,103739,71
2705,The Great Wall,2016,6.0,42,102547,60
2706,The Shallows,2016,6.3,59,100594,63
2707,Kubo and the Two Strings,2016,7.8,84,97543,78
2708,13 Hours,2016,7.3,48,96947,73
2709,Nerve,2016,6.6,58,95992,66
2710,Neighbors 2: Sorority Rising,2016,5.7,58,95842,57
2711,Train to Busan,2016,7.5,72,95528,75
2712,Dirty Grandpa,2016,5.9,21,94697,59
2713,Bad Moms,2016,6.2,60,94051,62
2714,Lights Out,2016,6.3,58,93408,63
2715,Gods of Egypt,2016,5.4,25,89608,54
2716,Allegiant,2016,5.7,33,88138,57
2717,The Founder,2016,7.2,66,86996,72
2718,The 5th Wave,2016,5.2,33,86244,52
2719,Swiss Army Man,2016,7.0,64,84035,70
2720,Why Him?,2016,6.2,39,83655,62
2721,Money Monster,2016,6.5,55,82431,65
2722,The Huntsman: Winter's War,2016,6.1,35,81900,61
2723,Hunt for the Wilderpeople,2016,7.9,81,79362,79
2724,Silence,2016,7.2,79,78954,72
2725,Fences,2016,7.2,79,78925,72
2726,The Brothers Grimsby,2016,6.2,44,77517,62
2727,The Edge of Seventeen,2016,7.4,77,77075,74
2728,The Purge: Election Year,2016,6.0,55,73707,60
2729,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40,73430,60
2730,Alice Through the Looking Glass,2016,6.2,34,73405,62
2731,Collateral Beauty,2016,6.8,23,71895,68
2732,Mike and Dave Need Wedding Dates,2016,6.0,51,70308,60
2733,How to Be Single,2016,6.1,51,70247,61
2734,Eddie the Eagle,2016,7.4,54,70182,74
2735,Patriots Day,2016,7.4,69,69568,74
2736,Sing Street,2016,8.0,79,69531,80
2737,Resident Evil: The Final Chapter,2016,5.6,49,69332,56
2738,Hush,2016,6.6,67,67261,66
2739,The Neon Demon,2016,6.2,51,67228,62
2740,The Handmaiden,2016,8.1,84,66847,81
2741,The Angry Birds Movie,2016,6.3,43,66379,63
2742,Midnight Special,2016,6.6,76,65417,66
2743,The Autopsy of Jane Doe,2016,6.8,65,65168,68
2744,The BFG,2016,6.4,66,65126,64
2745,A Monster Calls,2016,7.5,76,64915,75
2746,A Cure for Wellness,2016,6.4,47,64364,64
2747,The Boy,2016,6.0,42,64158,60
2748,Mechanic: Resurrection,2016,5.7,38,62387,57
2749,Jackie,2016,6.7,81,61854,67
2750,The Lost City of Z,2016,6.6,78,60768,66
2751,Trolls,2016,6.5,56,59220,65
2752,Underworld: Blood Wars,2016,5.8,23,58556,58
2753,Café Society,2016,6.6,64,58552,66
2754,The Infiltrator,2016,7.0,66,58111,70
2755,Triple 9,2016,6.3,52,57430,63
2756,Zoolander 2,2016,4.7,34,57392,47
2757,Bridget Jones's Baby,2016,6.6,59,55617,66
2758,The Finest Hours,2016,6.8,58,53373,68
2759,Office Christmas Party,2016,5.8,42,51080,58
2760,Elle,2016,7.2,89,50882,72
2761,Paterson,2016,7.4,90,49389,74
2762,Blood Father,2016,6.4,66,49324,64
2763,Criminal,2016,6.3,36,48674,63
2764,Keeping Up with the Joneses,2016,5.9,34,48389,59
2765,Storks,2016,6.8,56,47385,68
2766,Pete's Dragon,2016,6.7,71,46923,67
2767,Colossal,2016,6.2,70,46381,62
2768,Gold,2016,6.7,49,46216,67
2769,Miss Sloane,2016,7.5,64,45999,75
2770,Ride Along 2,2016,5.9,32,45840,59
2771,Everybody Wants Some!!,2016,7.0,83,45705,70
2772,Ice Age: Collision Course,2016,5.7,34,44647,57
2773,Whiskey Tango Foxtrot,2016,6.6,57,44360,66
2774,Live by Night,2016,6.4,49,43859,64
2775,Raw,2016,7.0,81,43833,70
2776,The Fundamentals of Caring,2016,7.3,55,43534,73
2777,Popstar: Never Stop Never Stopping,2016,6.7,68,43297,67
2778,Ouija: Origin of Evil,2016,6.1,65,43133,61
2779,Pride and Prejudice and Zombies,2016,5.8,45,43082,58
